YEAR,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.014,0.0168,0.0262,0.0416,0.0499,0.0539,0.0537,0.0525,0.0539,0.0622,0.0681,0.0704
2020,0.0249,0.0233,0.0154,0.0033,0.0012,0.0065,0.0099,0.0131,0.0137,0.0118,0.0117,0.0136
2019,0.0155,0.0152,0.0186,0.02,0.0179,0.0165,0.0181,0.0175,0.0171,0.0176,0.0205,0.0229
2018,0.0207,0.0221,0.0236,0.0246,0.028,0.0287,0.0295,0.027,0.0228,0.0252,0.0218,0.0191
2017,0.025,0.0274,0.0238,0.022,0.0187,0.0163,0.0173,0.0194,0.0223,0.0204,0.022,0.0211
2016,0.0137,0.0102,0.0085,0.0113,0.0102,0.01,0.0083,0.0106,0.0146,0.0164,0.0169,0.0207
2015,-0.0009,-0.0003,-0.0007,-0.002,-0.0004,0.0012,0.0017,0.002,-0.0004,0.0017,0.005,0.0073
2014,0.0158,0.0113,0.0151,0.0195,0.0213,0.0207,0.0199,0.017,0.0166,0.0166,0.0132,0.0076
2013,0.0159,0.0198,0.0147,0.0106,0.0136,0.0175,0.0196,0.0152,0.0118,0.0096,0.0124,0.015
2012,0.0293,0.0287,0.0265,0.023,0.017,0.0166,0.0141,0.0169,0.0199,0.0216,0.0176,0.0174
2011,0.0163,0.0211,0.0268,0.0316,0.0357,0.0356,0.0363,0.0377,0.0387,0.0353,0.0339,0.0296
2010,0.0263,0.0214,0.0231,0.0224,0.0202,0.0105,0.0124,0.0115,0.0114,0.0117,0.0114,0.015
2009,0.0003,0.0024,-0.0038,-0.0074,-0.0128,-0.0143,-0.021,-0.0148,-0.0129,-0.0018,0.0184,0.0272
2008,0.0428,0.0403,0.0398,0.0394,0.0418,0.0502,0.056,0.0537,0.0494,0.0366,0.0107,0.0009
2007,0.0208,0.0242,0.0278,0.0257,0.0269,0.0269,0.0236,0.0197,0.0276,0.0354,0.0431,0.0408
2006,0.0399,0.036,0.0336,0.0355,0.0417,0.0432,0.0415,0.0382,0.0206,0.0131,0.0197,0.0254
2005,0.0297,0.0301,0.0315,0.0351,0.028,0.0253,0.0317,0.0364,0.0469,0.0435,0.0346,0.0342
2004,0.0193,0.0169,0.0174,0.0229,0.0305,0.0327,0.0299,0.0265,0.0254,0.0319,0.0352,0.0326
